condition,item,test,layer,llh_left,llh_right,log_odds,test_passed
stripping_VPE,3,test_1,4,-7.996649265289307,-8.025002479553223,0.028353214263916016,True
stripping_VPE,3,test_1,5,-7.759939670562744,-7.820127010345459,0.060187339782714844,True
stripping_VPE,3,test_1,6,-6.763979911804199,-6.718593597412109,-0.045386314392089844,False
stripping_VPE,3,test_1,7,-6.735117435455322,-6.684929847717285,-0.05018758773803711,False
stripping_VPE,3,test_1,8,-6.995033264160156,-6.980877876281738,-0.014155387878417969,False
stripping_VPE,3,test_1,9,-6.825823783874512,-6.789788246154785,-0.03603553771972656,False
stripping_VPE,3,test_1,10,-5.214291572570801,-5.222968578338623,0.008677005767822266,True
stripping_VPE,3,test_1,11,-3.40069580078125,-3.460097551345825,0.059401750564575195,True
stripping_VPE,3,test_1,12,-7.135772705078125,-7.15032958984375,0.014556884765625,True
stripping_VPE,3,test_2,0,-51.667388916015625,-51.44304656982422,-0.22434234619140625,False
stripping_VPE,3,test_2,1,-9.881553649902344,-9.81805419921875,-0.06349945068359375,False
stripping_VPE,3,test_2,2,-10.535300254821777,-10.504705429077148,-0.030594825744628906,False
stripping_VPE,3,test_2,3,-10.256354331970215,-10.30009651184082,0.04374217987060547,True
stripping_VPE,3,test_2,4,-9.793901443481445,-9.813446998596191,0.019545555114746094,True
stripping_VPE,3,test_2,5,-10.108365058898926,-10.098291397094727,-0.010073661804199219,False
stripping_VPE,3,test_2,6,-9.559844017028809,-9.51339054107666,-0.04645347595214844,False
stripping_VPE,3,test_2,7,-9.73876667022705,-9.643020629882812,-0.09574604034423828,False
stripping_VPE,3,test_2,8,-10.275652885437012,-10.196430206298828,-0.0792226791381836,False
stripping_VPE,3,test_2,9,-9.572118759155273,-9.56952953338623,-0.0025892257690429688,False
stripping_VPE,3,test_2,10,-8.178071022033691,-8.303277969360352,0.12520694732666016,True
stripping_VPE,3,test_2,11,-6.60958194732666,-6.704157829284668,0.09457588195800781,True
stripping_VPE,3,test_2,12,-6.879278182983398,-6.903681755065918,0.02440357208251953,True
stripping_VPE,5,test_1,0,-57.59902572631836,-57.836029052734375,0.23700332641601562,True
stripping_VPE,5,test_1,1,-14.774608612060547,-14.931281089782715,0.15667247772216797,True
stripping_VPE,5,test_1,2,-13.67751693725586,-13.708720207214355,0.031203269958496094,True
stripping_VPE,5,test_1,3,-12.1238374710083,-12.287018775939941,0.16318130493164062,True
stripping_VPE,5,test_1,4,-11.735772132873535,-11.89630126953125,0.16052913665771484,True
stripping_VPE,5,test_1,5,-11.94604206085205,-11.97254467010498,0.026502609252929688,True
stripping_VPE,5,test_1,6,-10.820868492126465,-11.028350830078125,0.20748233795166016,True
stripping_VPE,5,test_1,7,-10.38276481628418,-10.686184883117676,0.3034200668334961,True
stripping_VPE,5,test_1,8,-10.337672233581543,-10.851673126220703,0.5140008926391602,True
stripping_VPE,5,test_1,9,-7.8553900718688965,-8.375510215759277,0.5201201438903809,True
stripping_VPE,5,test_1,10,-5.043237209320068,-5.750003337860107,0.7067661285400391,True
stripping_VPE,5,test_1,11,-3.912827491760254,-4.762683868408203,0.8498563766479492,True
stripping_VPE,5,test_1,12,-6.715982437133789,-7.070202350616455,0.354219913482666,True
stripping_VPE,5,test_2,0,-64.82695007324219,-64.60442352294922,-0.22252655029296875,False
stripping_VPE,5,test_2,1,-17.510910034179688,-17.425296783447266,-0.08561325073242188,False
stripping_VPE,5,test_2,2,-15.93790340423584,-15.959979057312012,0.022075653076171875,True
stripping_VPE,5,test_2,3,-13.511948585510254,-13.685381889343262,0.1734333038330078,True
stripping_VPE,5,test_2,4,-12.33175277709961,-12.452969551086426,0.1212167739868164,True
stripping_VPE,5,test_2,5,-12.221179962158203,-11.979649543762207,-0.2415304183959961,False
stripping_VPE,5,test_2,6,-11.133685111999512,-10.779701232910156,-0.35398387908935547,False
stripping_VPE,5,test_2,7,-10.839183807373047,-10.267915725708008,-0.5712680816650391,False
stripping_VPE,5,test_2,8,-10.248126029968262,-9.930740356445312,-0.3173856735229492,False
stripping_VPE,5,test_2,9,-8.566880226135254,-8.064127922058105,-0.5027523040771484,False
stripping_VPE,5,test_2,10,-6.87098503112793,-5.4267258644104,-1.4442591667175293,False
stripping_VPE,5,test_2,11,-5.663353443145752,-4.396894931793213,-1.266458511352539,False
stripping_VPE,5,test_2,12,-8.027172088623047,-7.72761344909668,-0.2995586395263672,False
joins,1,test_1,0,-57.648223876953125,-57.648223876953125,0.0,False
